Dataset,Assembler,Score,Mean Sequencing Depth
ERR194146,ARC,29.57135,52.2025
ERR194147,ARC,25.28175,51.3741
ERR194158,ARC,29.93779,55.0723
ERR194159,ARC,29.61024,46.0197
ERR194160,ARC,24.12472,49.7679
ERR194161,ARC,39.01029,54.6167
ERR194146,Getorganelle,97.91024,52.2025
ERR194147,Getorganelle,99.99396,51.3741
ERR194158,Getorganelle,87.49095,55.0723
ERR194159,Getorganelle,97.91036,46.0197
ERR194160,Getorganelle,99.98793,49.7679
ERR194161,Getorganelle,99.99396,54.6167
ERR194146,IOGA,99.9186,52.2025
ERR194147,IOGA,99.964,51.3741
ERR194158,IOGA,82.20059,55.0723
ERR194159,IOGA,99.88857,46.0197
ERR194160,IOGA,82.19482,49.7679
ERR194161,IOGA,99.994,54.6167
ERR194146,MEANGS,99.9819,52.2025
ERR194147,MEANGS,97.96324,51.3741
ERR194158,MEANGS,99.99095,55.0723
ERR194159,MEANGS,99.9584,46.0197
ERR194160,MEANGS,78.47465,49.7679
ERR194161,MEANGS,99.9742,54.6167
ERR194146,Mitobim,0,52.2025
ERR194147,Mitobim,0,51.3741
ERR194158,Mitobim,0,55.0723
ERR194159,Mitobim,0,46.0197
ERR194160,Mitobim,0,49.7679
ERR194161,Mitobim,0,54.6167
ERR194146,MitoFlex,99.97285,52.2025
ERR194147,MitoFlex,99.99396,51.3741
ERR194158,MitoFlex,99.99396,55.0723
ERR194159,MitoFlex,99.98793,46.0197
ERR194160,MitoFlex,99.98793,49.7679
ERR194161,MitoFlex,76.27373,54.6167
ERR194146,MitoZ,97.89293,52.2025
ERR194147,MitoZ,99.97585,51.3741
ERR194158,MitoZ,99.96985,55.0723
ERR194159,MitoZ,97.91123,46.0197
ERR194160,MitoZ,99.9638,49.7679
ERR194161,MitoZ,99.99395,54.6167
ERR194146,MToolBox,99.997,52.2025
ERR194147,MToolBox,99.997,51.3741
ERR194158,MToolBox,99.997,55.0723
ERR194159,MToolBox,99.997,46.0197
ERR194160,MToolBox,99.99395,49.7679
ERR194161,MToolBox,99.997,54.6167
