Dataset,Assembler,Depth,TP,FP,FN,Precision,Recall,F-score
ERR194147,Getorganelle,Original,16,0,2,1,0.8888888889,0.9411764706
ERR194160,Getorganelle,Original,18,0,2,1,0.9,0.9473684211
ERR194161,Getorganelle,Original,15,0,1,1,0.9375,0.9677419355
ERR194146,IOGA,Original,15,0,5,1,0.75,0.8571428571
ERR194147,IOGA,Original,16,0,2,1,0.8888888889,0.9411764706
ERR194159,IOGA,Original,12,0,4,1,0.75,0.8571428571
ERR194161,IOGA,Original,16,0,0,1,1,1
ERR194146,MEANGS,Original,11,0,9,1,0.55,0.7096774194
ERR194158,MEANGS,Original,14,0,4,1,0.7777777778,0.875
ERR194159,MEANGS,Original,7,0,9,1,0.4375,0.6086956522
ERR194161,MEANGS,Original,13,0,3,1,0.8125,0.8965517241
ERR194146,MitoFlex,Original,15,0,5,1,0.75,0.8571428571
ERR194147,MitoFlex,Original,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoFlex,Original,14,0,4,1,0.7777777778,0.875
ERR194159,MitoFlex,Original,13,0,3,1,0.8125,0.8965517241
ERR194160,MitoFlex,Original,18,0,2,1,0.9,0.9473684211
ERR194147,MitoZ,Original,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoZ,Original,14,0,4,1,0.7777777778,0.875
ERR194160,MitoZ,Original,18,0,2,1,0.9,0.9473684211
ERR194161,MitoZ,Original,16,0,0,1,1,1
ERR194146,MToolBox,Original,13,0,7,1,0.65,0.7878787879
ERR194147,MToolBox,Original,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MToolBox,Original,14,0,4,1,0.7777777778,0.875
ERR194159,MToolBox,Original,13,0,3,1,0.8125,0.8965517241
ERR194160,MToolBox,Original,18,0,2,1,0.9,0.9473684211
ERR194161,MToolBox,Original,15,0,1,1,0.9375,0.9677419355
ERR194146,Novoplasty,Original,12,0,8,1,0.6,0.75
ERR194147,Novoplasty,Original,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Novoplasty,Original,14,0,4,1,0.7777777778,0.875
ERR194159,Novoplasty,Original,13,0,3,1,0.8125,0.8965517241
ERR194160,Novoplasty,Original,18,0,2,1,0.9,0.9473684211
ERR194161,Novoplasty,Original,15,0,1,1,0.9375,0.9677419355
ERR194146,Org.Asm,Original,14,9,6,0.6086956522,0.7,0.6511627907
ERR194147,Org.Asm,Original,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Org.Asm,Original,14,0,4,1,0.7777777778,0.875
ERR194159,Org.Asm,Original,13,3,3,0.8125,0.8125,0.8125
ERR194160,Org.Asm,Original,18,0,2,1,0.9,0.9473684211
ERR194161,Org.Asm,Original,15,0,1,1,0.9375,0.9677419355
ERR194147,Getorganelle,40X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,Getorganelle,40X,14,0,4,1,0.7777777778,0.875
ERR194160,Getorganelle,40X,18,0,2,1,0.9,0.9473684211
ERR194161,Getorganelle,40X,16,0,0,1,1,1
ERR194146,IOGA,40X,14,0,6,1,0.7,0.8235294118
ERR194147,IOGA,40X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,IOGA,40X,14,0,4,1,0.7777777778,0.875
ERR194159,IOGA,40X,12,0,4,1,0.75,0.8571428571
ERR194161,IOGA,40X,16,0,0,1,1,1
ERR194146,MEANGS,40X,8,0,12,1,0.4,0.5714285714
ERR194158,MEANGS,40X,14,1,4,0.9333333333,0.7777777778,0.8484848485
ERR194159,MEANGS,40X,12,1,4,0.9230769231,0.75,0.8275862069
ERR194160,MEANGS,40X,16,1,4,0.9411764706,0.8,0.8648648649
ERR194161,MEANGS,40X,15,0,1,1,0.9375,0.9677419355
ERR194146,MitoFlex,40X,15,0,5,1,0.75,0.8571428571
ERR194147,MitoFlex,40X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoFlex,40X,14,0,4,1,0.7777777778,0.875
ERR194159,MitoFlex,40X,13,0,3,1,0.8125,0.8965517241
ERR194160,MitoFlex,40X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoFlex,40X,16,0,0,1,1,1
ERR194147,MitoZ,40X,16,0,2,1,0.8888888889,0.9411764706
ERR194160,MitoZ,40X,18,0,2,1,0.9,0.9473684211
ERR194146,MToolBox,40X,13,0,7,1,0.65,0.7878787879
ERR194147,MToolBox,40X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MToolBox,40X,14,0,4,1,0.7777777778,0.875
ERR194159,MToolBox,40X,13,0,3,1,0.8125,0.8965517241
ERR194160,MToolBox,40X,18,0,2,1,0.9,0.9473684211
ERR194161,MToolBox,40X,15,0,1,1,0.9375,0.9677419355
ERR194146,Novoplasty,40X,12,0,8,1,0.6,0.75
ERR194147,Novoplasty,40X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Novoplasty,40X,14,0,4,1,0.7777777778,0.875
ERR194159,Novoplasty,40X,13,0,3,1,0.8125,0.8965517241
ERR194160,Novoplasty,40X,18,0,2,1,0.9,0.9473684211
ERR194161,Novoplasty,40X,15,0,1,1,0.9375,0.9677419355
ERR194146,Org.Asm,40X,15,8,5,0.652173913,0.75,0.6976744186
ERR194147,Org.Asm,40X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Org.Asm,40X,14,20,4,0.4117647059,0.7777777778,0.5384615385
ERR194159,Org.Asm,40X,13,13,3,0.5,0.8125,0.619047619
ERR194160,Org.Asm,40X,18,0,2,1,0.9,0.9473684211
ERR194161,Org.Asm,40X,15,0,1,1,0.9375,0.9677419355
ERR194147,Getorganelle,30X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,Getorganelle,30X,14,0,4,1,0.7777777778,0.875
ERR194160,Getorganelle,30X,18,0,2,1,0.9,0.9473684211
ERR194161,Getorganelle,30X,15,0,5,1,0.75,0.8571428571
ERR194146,IOGA,30X,14,0,6,1,0.7,0.8235294118
ERR194147,IOGA,30X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,IOGA,30X,14,0,4,1,0.7777777778,0.875
ERR194161,IOGA,30X,16,0,0,1,1,1
ERR194147,MEANGS,30X,11,1,7,0.9166666667,0.6111111111,0.7333333333
ERR194158,MEANGS,30X,14,1,4,0.9333333333,0.7777777778,0.8484848485
ERR194159,MEANGS,30X,8,0,8,1,0.5,0.6666666667
ERR194160,MEANGS,30X,17,1,1,0.9444444444,0.9444444444,0.9444444444
ERR194161,MEANGS,30X,15,0,5,1,0.75,0.8571428571
ERR194146,MitoFlex,30X,15,0,5,1,0.75,0.8571428571
ERR194147,MitoFlex,30X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoFlex,30X,14,0,4,1,0.7777777778,0.875
ERR194159,MitoFlex,30X,13,0,3,1,0.8125,0.8965517241
ERR194160,MitoFlex,30X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoFlex,30X,16,0,0,1,1,1
ERR194147,MitoZ,30X,16,0,2,1,0.8888888889,0.9411764706
ERR194160,MitoZ,30X,18,0,2,1,0.9,0.9473684211
ERR194146,MToolBox,30X,13,0,7,1,0.65,0.7878787879
ERR194147,MToolBox,30X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MToolBox,30X,14,0,4,1,0.7777777778,0.875
ERR194159,MToolBox,30X,13,0,3,1,0.8125,0.8965517241
ERR194160,MToolBox,30X,18,0,2,1,0.9,0.9473684211
ERR194161,MToolBox,30X,15,0,1,1,0.9375,0.9677419355
ERR194146,Novoplasty,30X,12,0,8,1,0.6,0.75
ERR194147,Novoplasty,30X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Novoplasty,30X,14,0,4,1,0.7777777778,0.875
ERR194159,Novoplasty,30X,13,0,3,1,0.8125,0.8965517241
ERR194160,Novoplasty,30X,18,0,2,1,0.9,0.9473684211
ERR194161,Novoplasty,30X,15,0,1,1,0.9375,0.9677419355
ERR194146,Org.Asm,30X,15,8,5,0.652173913,0.75,0.6976744186
ERR194147,Org.Asm,30X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Org.Asm,30X,14,0,4,1,0.7777777778,0.875
ERR194159,Org.Asm,30X,13,9,3,0.5909090909,0.8125,0.6842105263
ERR194160,Org.Asm,30X,18,1,2,0.9473684211,0.9,0.9230769231
ERR194161,Org.Asm,30X,15,0,1,1,0.9375,0.9677419355
ERR194146,Getorganelle,20X,15,0,5,1,0.75,0.8571428571
ERR194147,Getorganelle,20X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,Getorganelle,20X,14,0,4,1,0.7777777778,0.875
ERR194159,Getorganelle,20X,13,0,3,1,0.8125,0.8965517241
ERR194160,Getorganelle,20X,18,0,2,1,0.9,0.9473684211
ERR194161,Getorganelle,20X,16,0,0,1,1,1
ERR194147,IOGA,20X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,IOGA,20X,13,0,5,1,0.7222222222,0.8387096774
ERR194159,IOGA,20X,13,0,3,1,0.8125,0.8965517241
ERR194161,IOGA,20X,16,0,0,1,1,1
ERR194146,MEANGS,20X,8,0,12,1,0.4,0.5714285714
ERR194147,MEANGS,20X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MEANGS,20X,15,0,3,1,0.8333333333,0.9090909091
ERR194159,MEANGS,20X,13,1,3,0.9285714286,0.8125,0.8666666667
ERR194160,MEANGS,20X,18,0,2,1,0.9,0.9473684211
ERR194161,MEANGS,20X,15,1,1,0.9375,0.9375,0.9375
ERR194146,MitoFlex,20X,15,0,5,1,0.75,0.8571428571
ERR194147,MitoFlex,20X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoFlex,20X,14,0,4,1,0.7777777778,0.875
ERR194159,MitoFlex,20X,13,0,3,1,0.8125,0.8965517241
ERR194160,MitoFlex,20X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoFlex,20X,16,0,0,1,1,1
ERR194147,MitoZ,20X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoZ,20X,14,0,4,1,0.7777777778,0.875
ERR194160,MitoZ,20X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoZ,20X,16,0,0,1,1,1
ERR194146,MToolBox,20X,13,0,7,1,0.65,0.7878787879
ERR194147,MToolBox,20X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MToolBox,20X,14,0,4,1,0.7777777778,0.875
ERR194159,MToolBox,20X,13,0,3,1,0.8125,0.8965517241
ERR194160,MToolBox,20X,18,0,2,1,0.9,0.9473684211
ERR194161,MToolBox,20X,15,0,1,1,0.9375,0.9677419355
ERR194146,Novoplasty,20X,12,0,8,1,0.6,0.75
ERR194147,Novoplasty,20X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Novoplasty,20X,14,0,4,1,0.7777777778,0.875
ERR194159,Novoplasty,20X,13,0,3,1,0.8125,0.8965517241
ERR194160,Novoplasty,20X,18,0,2,1,0.9,0.9473684211
ERR194161,Novoplasty,20X,15,0,1,1,0.9375,0.9677419355
ERR194146,Org.Asm,20X,14,7,6,0.6666666667,0.7,0.6829268293
ERR194147,Org.Asm,20X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Org.Asm,20X,14,0,4,1,0.7777777778,0.875
ERR194159,Org.Asm,20X,13,1,3,0.9285714286,0.8125,0.8666666667
ERR194160,Org.Asm,20X,18,0,2,1,0.9,0.9473684211
ERR194161,Org.Asm,20X,15,0,1,1,0.9375,0.9677419355
ERR194146,Getorganelle,10X,15,0,5,1,0.75,0.8571428571
ERR194147,Getorganelle,10X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,Getorganelle,10X,14,0,4,1,0.7777777778,0.875
ERR194159,Getorganelle,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,Getorganelle,10X,18,0,2,1,0.9,0.9473684211
ERR194161,Getorganelle,10X,16,0,0,1,1,1
ERR194146,IOGA,10X,14,0,6,1,0.7,0.8235294118
ERR194147,IOGA,10X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,IOGA,10X,14,0,4,1,0.7777777778,0.875
ERR194159,IOGA,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,IOGA,10X,18,0,2,1,0.9,0.9473684211
ERR194161,IOGA,10X,16,0,0,1,1,1
ERR194146,MEANGS,10X,8,0,12,1,0.4,0.5714285714
ERR194147,MEANGS,10X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MEANGS,10X,14,0,4,1,0.7777777778,0.875
ERR194159,MEANGS,10X,8,0,8,1,0.5,0.6666666667
ERR194161,MEANGS,10X,15,0,1,1,0.9375,0.9677419355
ERR194146,MitoFlex,10X,15,0,5,1,0.75,0.8571428571
ERR194147,MitoFlex,10X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoFlex,10X,14,0,4,1,0.7777777778,0.875
ERR194159,MitoFlex,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,MitoFlex,10X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoFlex,10X,16,0,0,1,1,1
ERR194147,MitoZ,10X,16,0,2,1,0.8888888889,0.9411764706
ERR194158,MitoZ,10X,14,0,4,1,0.7777777778,0.875
ERR194160,MitoZ,10X,18,0,2,1,0.9,0.9473684211
ERR194161,MitoZ,10X,16,0,0,1,1,1
ERR194146,MToolBox,10X,13,0,7,1,0.65,0.7878787879
ERR194147,MToolBox,10X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,MToolBox,10X,14,0,4,1,0.7777777778,0.875
ERR194159,MToolBox,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,MToolBox,10X,18,0,2,1,0.9,0.9473684211
ERR194161,MToolBox,10X,15,0,1,1,0.9375,0.9677419355
ERR194146,Novoplasty,10X,12,0,8,1,0.6,0.75
ERR194147,Novoplasty,10X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Novoplasty,10X,14,0,4,1,0.7777777778,0.875
ERR194159,Novoplasty,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,Novoplasty,10X,18,0,2,1,0.9,0.9473684211
ERR194161,Novoplasty,10X,15,0,1,1,0.9375,0.9677419355
ERR194146,Org.Asm,10X,14,0,6,1,0.7,0.8235294118
ERR194147,Org.Asm,10X,15,0,3,1,0.8333333333,0.9090909091
ERR194158,Org.Asm,10X,14,0,4,1,0.7777777778,0.875
ERR194159,Org.Asm,10X,13,0,3,1,0.8125,0.8965517241
ERR194160,Org.Asm,10X,18,0,2,1,0.9,0.9473684211
ERR194161,Org.Asm,10X,15,0,1,1,0.9375,0.9677419355
