Tool,Reads,Threads,Time (Seconds),Peak CPU Usage (%),Mean CPU Usage (%),Peak Mem Usage (GB)
ARC,115K,2,521,201.03,118.236,1.012
ARC,115K,4,465,401.2,131.661,1.002
ARC,115K,8,440,802.61,139.859,1.014
ARC,115K,16,428,1602.29,155.167,1.036
ARC,115K,2,518,200.75,117.792,0.998047
ARC,115K,4,469,401.28,130.958,1.006
ARC,115K,8,434,802.16,142.696,1.015
ARC,115K,16,425,1600.96,154.865,1.035
ARC,115K,2,517,200.94,118.676,0.999023
ARC,115K,4,460,402.11,133.107,1.006
ARC,115K,8,434,801.56,139.058,1.015
ARC,115K,16,423,1606.23,151.247,1.035
ARC,115K,2,519,200.82,118.424,0.999023
ARC,115K,4,465,401.69,131.006,1.004
ARC,115K,8,439,801.63,139.652,1.015
ARC,115K,16,428,1604.3,149.471,1.035
ARC,115K,2,531,200.85,117.966,1.001
ARC,115K,4,480,401.34,130.149,1.003
ARC,115K,8,450,803.03,140.827,1.018
ARC,115K,16,438,1604.54,149.378,1.034
GetOrganelle,115K,2,88,201.46,145.736,2.014
GetOrganelle,115K,4,68,400.65,199.451,2.014
GetOrganelle,115K,8,57,806.42,256.112,2.005
GetOrganelle,115K,16,54,1613.24,313.154,1.957
GetOrganelle,115K,2,89,201.01,146.185,2.106
GetOrganelle,115K,4,68,400.64,192.6,1.974
GetOrganelle,115K,8,59,805.5,245.402,2
GetOrganelle,115K,16,56,1608.5,271.135,1.934
GetOrganelle,115K,2,93,200.91,145.044,2.257
GetOrganelle,115K,4,72,401.01,188.284,1.956
GetOrganelle,115K,8,63,804.84,236.678,1.983
GetOrganelle,115K,16,59,949.5,283.273,2.011
GetOrganelle,115K,2,87,200.96,151.314,2.255
GetOrganelle,115K,4,66,401.34,193.012,1.965
GetOrganelle,115K,8,57,801.82,248.53,2.009
GetOrganelle,115K,16,54,1592.41,295.579,1.949
GetOrganelle,115K,2,88,200.97,149.364,2.257
GetOrganelle,115K,4,68,398.83,188.745,1.956
GetOrganelle,115K,8,58,802.65,247.371,2.004
GetOrganelle,115K,16,55,943.33,286.606,2.012
IOGA,115K,2,1953,213.42,148.003,4.991
IOGA,115K,4,1539,414.69,192.088,6.066
IOGA,115K,8,1350,822.91,239.677,11.69
IOGA,115K,16,1275,1626.26,315.211,12.27
IOGA,115K,2,1988,212.39,147.988,6.067
IOGA,115K,4,1559,418.93,192.966,4.805
IOGA,115K,8,1364,815.97,247.222,11.7
IOGA,115K,16,1268,1608.24,311.058,11.69
IOGA,115K,2,1975,204.56,147.967,6.063
IOGA,115K,4,1552,426.69,191.571,5.258
IOGA,115K,8,1358,815.15,240.645,11.67
IOGA,115K,16,1282,1616.81,316.931,11.93
IOGA,115K,2,1994,205.17,147.309,5.997
IOGA,115K,4,1549,419.05,193.603,6.053
IOGA,115K,8,1366,813.69,240.605,11.69
IOGA,115K,16,1271,1615.1,299.518,11.7
IOGA,115K,2,2013,208.44,148.899,6.05
